1.23199 0.646287
-0.185294 0.403995
-0.0401601 0.434449
1.46667 0.708407
-0.330709 0.365256
1.52557 0.713055
0.972051 0.617147
-0.461641 0.318608
-0.137885 0.409013
-1.10017 0.236272
-0.873812 0.270264
1.28593 0.67981
-0.500653 0.332555
-1.0667 0.255962
-0.388172 0.344771
0.97571 0.624279
-1.49421 0.172793
-0.212797 0.381558
0.569057 0.5434
1.56569 0.727583
0.269161 0.465875
0.200586 0.450907
1.16809 0.641747
1.19011 0.668328
-1.86436 0.148077
0.349115 0.499432
-0.847895 0.2683
0.0931164 0.439678
-1.06888 0.231691
-1.04296 0.231112
1.01343 0.629566
-1.91365 0.143887
-0.673392 0.289683
-1.16276 0.219702
0.736025 0.554909
0.405964 0.48217
-1.92559 0.141693
1.05355 0.628869
0.0397483 0.434838
0.383466 0.501205
-1.0033 0.243404
0.578802 0.526365
0.950894 0.625216
0.906641 0.611944
0.115145 0.449454
1.02311 0.623065
1.09162 0.645328
-0.747098 0.289346
-2.08678 0.12783
-0.0566825 0.423053
